año,mes,region,estacion,categoria_gasto,monto_real_mxn
2024,3,Centro,Toluca,Administrativo,75000
2024,3,Sur,Oaxaca,Recolección,663000
2024,3,Sur,Oaxaca,Transporte,223000
2024,3,Sur,Oaxaca,Tratamiento,398000
2024,3,Sur,Oaxaca,Mantenimiento,106000
2024,3,Sur,Oaxaca,Personal,455000
2024,3,Sur,Oaxaca,Administrativo,62000
2024,3,Sur,Veracruz,Recolección,812000
2024,3,Sur,Veracruz,Transporte,277000
2024,3,Sur,Veracruz,Tratamiento,461000
2024,3,Sur,Veracruz,Mantenimiento,123000
2024,3,Sur,Veracruz,Personal,541000
2024,3,Sur,Veracruz,Administrativo,71000
2024,3,Bajío,Guadalajara,Recolección,1077000
2024,3,Bajío,Guadalajara,Transporte,360000
2024,3,Bajío,Guadalajara,Tratamiento,576000
2024,3,Bajío,Guadalajara,Mantenimiento,162000
2024,3,Bajío,Guadalajara,Personal,685000
2024,3,Bajío,Guadalajara,Administrativo,94000
2024,3,Bajío,Querétaro,Recolección,796000
2024,3,Bajío,Querétaro,Transporte,259000
2024,3,Bajío,Querétaro,Tratamiento,434000
2024,3,Bajío,Querétaro,Mantenimiento,119000
2024,3,Bajío,Querétaro,Personal,510000
2024,3,Bajío,Querétaro,Administrativo,70000
2024,4,Norte,Monterrey,Recolección,1271000
2024,4,Norte,Monterrey,Transporte,434000
2024,4,Norte,Monterrey,Tratamiento,695000
2024,4,Norte,Monterrey,Mantenimiento,201000
2024,4,Norte,Monterrey,Personal,826000
2024,4,Norte,Monterrey,Administrativo,111000
2024,4,Norte,Saltillo,Recolección,1019000
2024,4,Norte,Saltillo,Transporte,318000
2024,4,Norte,Saltillo,Tratamiento,529000
2024,4,Norte,Saltillo,Mantenimiento,148000
2024,4,Norte,Saltillo,Personal,643000
2024,4,Norte,Saltillo,Administrativo,86000
2024,4,Centro,CDMX,Recolección,2128000
2024,4,Centro,CDMX,Transporte,737000
2024,4,Centro,CDMX,Tratamiento,1160000
2024,4,Centro,CDMX,Mantenimiento,313000
2024,4,Centro,CDMX,Personal,1353000
2024,4,Centro,CDMX,Administrativo,195000
2024,4,Centro,Toluca,Recolección,878000
2024,4,Centro,Toluca,Transporte,290000
2024,4,Centro,Toluca,Tratamiento,497000
2024,4,Centro,Toluca,Mantenimiento,130000
2024,4,Centro,Toluca,Personal,585000
2024,4,Centro,Toluca,Administrativo,77000
2024,4,Sur,Oaxaca,Recolección,655000
2024,4,Sur,Oaxaca,Transporte,221000
2024,4,Sur,Oaxaca,Tratamiento,405000
2024,4,Sur,Oaxaca,Mantenimiento,107000
2024,4,Sur,Oaxaca,Personal,469000
2024,4,Sur,Oaxaca,Administrativo,64000
2024,4,Sur,Veracruz,Recolección,847000
2024,4,Sur,Veracruz,Transporte,272000
2024,4,Sur,Veracruz,Tratamiento,452000
2024,4,Sur,Veracruz,Mantenimiento,122000
2024,4,Sur,Veracruz,Personal,549000
2024,4,Sur,Veracruz,Administrativo,73000
2024,4,Bajío,Guadalajara,Recolección,1081000
2024,4,Bajío,Guadalajara,Transporte,359000
2024,4,Bajío,Guadalajara,Tratamiento,603000
2024,4,Bajío,Guadalajara,Mantenimiento,161000
2024,4,Bajío,Guadalajara,Personal,701000
2024,4,Bajío,Guadalajara,Administrativo,93000
2024,4,Bajío,Querétaro,Recolección,807000
2024,4,Bajío,Querétaro,Transporte,263000
2024,4,Bajío,Querétaro,Tratamiento,433000
2024,4,Bajío,Querétaro,Mantenimiento,120000
2024,4,Bajío,Querétaro,Personal,519000
2024,4,Bajío,Querétaro,Administrativo,69000
2024,5,Norte,Monterrey,Recolección,1275000
2024,5,Norte,Monterrey,Transporte,450000
2024,5,Norte,Monterrey,Tratamiento,699000
2024,5,Norte,Monterrey,Mantenimiento,204000
2024,5,Norte,Monterrey,Personal,846000
2024,5,Norte,Monterrey,Administrativo,111000
2024,5,Norte,Saltillo,Recolección,1030000
2024,5,Norte,Saltillo,Transporte,324000
2024,5,Norte,Saltillo,Tratamiento,546000
2024,5,Norte,Saltillo,Mantenimiento,152000
2024,5,Norte,Saltillo,Personal,668000
2024,5,Norte,Saltillo,Administrativo,86000
2024,5,Centro,CDMX,Recolección,2162000
2024,5,Centro,CDMX,Transporte,733000
2024,5,Centro,CDMX,Tratamiento,1180000
2024,5,Centro,CDMX,Mantenimiento,314000
2024,5,Centro,CDMX,Personal,1384000
2024,5,Centro,CDMX,Administrativo,199000
2024,5,Centro,Toluca,Recolección,888000
2024,5,Centro,Toluca,Transporte,292000
2024,5,Centro,Toluca,Tratamiento,494000
2024,5,Centro,Toluca,Mantenimiento,133000
2024,5,Centro,Toluca,Personal,608000
2024,5,Centro,Toluca,Administrativo,79000
2024,5,Sur,Oaxaca,Recolección,671000
2024,5,Sur,Oaxaca,Transporte,229000
2024,5,Sur,Oaxaca,Tratamiento,396000
2024,5,Sur,Oaxaca,Mantenimiento,107000
2024,5,Sur,Oaxaca,Personal,483000
2024,5,Sur,Oaxaca,Administrativo,64000
2024,5,Sur,Veracruz,Recolección,846000
2024,5,Sur,Veracruz,Transporte,281000
2024,5,Sur,Veracruz,Tratamiento,455000
2024,5,Sur,Veracruz,Mantenimiento,124000
2024,5,Sur,Veracruz,Personal,556000
2024,5,Sur,Veracruz,Administrativo,75000
2024,5,Bajío,Guadalajara,Recolección,1067000
2024,5,Bajío,Guadalajara,Transporte,367000
2024,5,Bajío,Guadalajara,Tratamiento,587000
2024,5,Bajío,Guadalajara,Mantenimiento,163000
2024,5,Bajío,Guadalajara,Personal,713000
2024,5,Bajío,Guadalajara,Administrativo,95000
2024,5,Bajío,Querétaro,Recolección,795000
2024,5,Bajío,Querétaro,Transporte,264000
2024,5,Bajío,Querétaro,Tratamiento,450000
2024,5,Bajío,Querétaro,Mantenimiento,120000
2024,5,Bajío,Querétaro,Personal,527000
2024,5,Bajío,Querétaro,Administrativo,70000
2024,6,Norte,Monterrey,Recolección,1296000
2024,6,Norte,Monterrey,Transporte,449000
2024,6,Norte,Monterrey,Tratamiento,708000
2024,6,Norte,Monterrey,Mantenimiento,206000
2024,6,Norte,Monterrey,Personal,843000
2024,6,Norte,Monterrey,Administrativo,115000
2024,6,Norte,Saltillo,Recolección,1009000
2024,6,Norte,Saltillo,Transporte,321000
2024,6,Norte,Saltillo,Tratamiento,545000
2024,6,Norte,Saltillo,Mantenimiento,150000
2024,6,Norte,Saltillo,Personal,661000
2024,6,Norte,Saltillo,Administrativo,89000
2024,6,Centro,CDMX,Recolección,2147000
2024,6,Centro,CDMX,Transporte,748000
2024,6,Centro,CDMX,Tratamiento,1220000
2024,6,Centro,CDMX,Mantenimiento,329000
2024,6,Centro,CDMX,Personal,1380000
2024,6,Centro,CDMX,Administrativo,195000
2024,6,Centro,Toluca,Recolección,896000
2024,6,Centro,Toluca,Transporte,296000
2024,6,Centro,Toluca,Tratamiento,507000
2024,6,Centro,Toluca,Mantenimiento,137000
2024,6,Centro,Toluca,Personal,600000
2024,6,Centro,Toluca,Administrativo,77000
2024,6,Sur,Oaxaca,Recolección,685000
2024,6,Sur,Oaxaca,Transporte,231000
2024,6,Sur,Oaxaca,Tratamiento,407000
2024,6,Sur,Oaxaca,Mantenimiento,111000
2024,6,Sur,Oaxaca,Personal,481000
2024,6,Sur,Oaxaca,Administrativo,63000
2024,6,Sur,Veracruz,Recolección,864000
2024,6,Sur,Veracruz,Transporte,279000
2024,6,Sur,Veracruz,Tratamiento,471000
2024,6,Sur,Veracruz,Mantenimiento,127000
2024,6,Sur,Veracruz,Personal,553000
2024,6,Sur,Veracruz,Administrativo,74000
2024,6,Bajío,Guadalajara,Recolección,1075000
2024,6,Bajío,Guadalajara,Transporte,365000
2024,6,Bajío,Guadalajara,Tratamiento,598000
2024,6,Bajío,Guadalajara,Mantenimiento,167000
2024,6,Bajío,Guadalajara,Personal,724000
2024,6,Bajío,Guadalajara,Administrativo,95000
2024,6,Bajío,Querétaro,Recolección,816000
2024,6,Bajío,Querétaro,Transporte,268000
2024,6,Bajío,Querétaro,Tratamiento,447000
2024,6,Bajío,Querétaro,Mantenimiento,125000
2024,6,Bajío,Querétaro,Personal,538000
2024,6,Bajío,Querétaro,Administrativo,70000
2024,7,Norte,Monterrey,Recolección,1346000
2024,7,Norte,Monterrey,Transporte,460000
2024,7,Norte,Monterrey,Tratamiento,720000
2024,7,Norte,Monterrey,Mantenimiento,213000
2024,7,Norte,Monterrey,Personal,890000
2024,7,Norte,Monterrey,Administrativo,118000
2024,7,Norte,Saltillo,Recolección,1069000
2024,7,Norte,Saltillo,Transporte,335000
2024,7,Norte,Saltillo,Tratamiento,560000
2024,7,Norte,Saltillo,Mantenimiento,154000
2024,7,Norte,Saltillo,Personal,679000
2024,7,Norte,Saltillo,Administrativo,93000
2024,7,Centro,CDMX,Recolección,2305000
2024,7,Centro,CDMX,Transporte,779000
2024,7,Centro,CDMX,Tratamiento,1259000
2024,7,Centro,CDMX,Mantenimiento,336000
2024,7,Centro,CDMX,Personal,1437000
2024,7,Centro,CDMX,Administrativo,202000
2024,7,Centro,Toluca,Recolección,932000
2024,7,Centro,Toluca,Transporte,307000
2024,7,Centro,Toluca,Tratamiento,525000
2024,7,Centro,Toluca,Mantenimiento,142000
2024,7,Centro,Toluca,Personal,636000
2024,7,Centro,Toluca,Administrativo,80000
2024,7,Sur,Oaxaca,Recolección,695000
2024,7,Sur,Oaxaca,Transporte,234000
2024,7,Sur,Oaxaca,Tratamiento,426000
2024,7,Sur,Oaxaca,Mantenimiento,115000
2024,7,Sur,Oaxaca,Personal,495000
2024,7,Sur,Oaxaca,Administrativo,67000
2024,7,Sur,Veracruz,Recolección,873000
2024,7,Sur,Veracruz,Transporte,297000
2024,7,Sur,Veracruz,Tratamiento,493000
2024,7,Sur,Veracruz,Mantenimiento,132000
2024,7,Sur,Veracruz,Personal,590000
2024,7,Sur,Veracruz,Administrativo,79000
2024,7,Bajío,Guadalajara,Recolección,1112000
2024,7,Bajío,Guadalajara,Transporte,382000
2024,7,Bajío,Guadalajara,Tratamiento,622000
2024,7,Bajío,Guadalajara,Mantenimiento,176000
2024,7,Bajío,Guadalajara,Personal,754000
2024,7,Bajío,Guadalajara,Administrativo,101000
2024,7,Bajío,Querétaro,Recolección,853000
2024,7,Bajío,Querétaro,Transporte,278000
2024,7,Bajío,Querétaro,Tratamiento,470000
2024,7,Bajío,Querétaro,Mantenimiento,125000
2024,7,Bajío,Querétaro,Personal,559000
2024,7,Bajío,Querétaro,Administrativo,74000
2024,8,Norte,Monterrey,Recolección,1323000
2024,8,Norte,Monterrey,Transporte,466000
2024,8,Norte,Monterrey,Tratamiento,726000
2024,8,Norte,Monterrey,Mantenimiento,207000
2024,8,Norte,Monterrey,Personal,888000
2024,8,Norte,Monterrey,Administrativo,116000
2024,8,Norte,Saltillo,Recolección,1029000
2024,8,Norte,Saltillo,Transporte,328000
2024,8,Norte,Saltillo,Tratamiento,553000
2024,8,Norte,Saltillo,Mantenimiento,157000
2024,8,Norte,Saltillo,Personal,698000
2024,8,Norte,Saltillo,Administrativo,90000
2024,8,Centro,CDMX,Recolección,2260000
2024,8,Centro,CDMX,Transporte,767000
2024,8,Centro,CDMX,Tratamiento,1254000
2024,8,Centro,CDMX,Mantenimiento,332000
2024,8,Centro,CDMX,Personal,1470000
2024,8,Centro,CDMX,Administrativo,200000
2024,8,Centro,Toluca,Recolección,948000
2024,8,Centro,Toluca,Transporte,296000
2024,8,Centro,Toluca,Tratamiento,523000
2024,8,Centro,Toluca,Mantenimiento,138000
2024,8,Centro,Toluca,Personal,611000
2024,8,Centro,Toluca,Administrativo,80000
2024,8,Sur,Oaxaca,Recolección,702000
2024,8,Sur,Oaxaca,Transporte,234000
2024,8,Sur,Oaxaca,Tratamiento,419000
2024,8,Sur,Oaxaca,Mantenimiento,112000
2024,8,Sur,Oaxaca,Personal,490000
2024,8,Sur,Oaxaca,Administrativo,67000
2024,8,Sur,Veracruz,Recolección,869000
2024,8,Sur,Veracruz,Transporte,291000
2024,8,Sur,Veracruz,Tratamiento,472000
2024,8,Sur,Veracruz,Mantenimiento,131000
2024,8,Sur,Veracruz,Personal,579000
2024,8,Sur,Veracruz,Administrativo,78000
2024,8,Bajío,Guadalajara,Recolección,1134000
2024,8,Bajío,Guadalajara,Transporte,377000
2024,8,Bajío,Guadalajara,Tratamiento,617000
2024,8,Bajío,Guadalajara,Mantenimiento,168000
2024,8,Bajío,Guadalajara,Personal,743000
2024,8,Bajío,Guadalajara,Administrativo,98000
2024,8,Bajío,Querétaro,Recolección,828000
2024,8,Bajío,Querétaro,Transporte,282000
2024,8,Bajío,Querétaro,Tratamiento,464000
2024,8,Bajío,Querétaro,Mantenimiento,125000
2024,8,Bajío,Querétaro,Personal,542000
2024,8,Bajío,Querétaro,Administrativo,72000
2024,9,Norte,Monterrey,Recolección,1307000
2024,9,Norte,Monterrey,Transporte,448000
2024,9,Norte,Monterrey,Tratamiento,703000
2024,9,Norte,Monterrey,Mantenimiento,204000
2024,9,Norte,Monterrey,Personal,876000
2024,9,Norte,Monterrey,Administrativo,116000
2024,9,Norte,Saltillo,Recolección,1046000
2024,9,Norte,Saltillo,Transporte,327000
2024,9,Norte,Saltillo,Tratamiento,542000
2024,9,Norte,Saltillo,Mantenimiento,153000
2024,9,Norte,Saltillo,Personal,659000
2024,9,Norte,Saltillo,Administrativo,88000
2024,9,Centro,CDMX,Recolección,2199000
2024,9,Centro,CDMX,Transporte,758000
2024,9,Centro,CDMX,Tratamiento,1215000
2024,9,Centro,CDMX,Mantenimiento,325000
2024,9,Centro,CDMX,Personal,1414000
2024,9,Centro,CDMX,Administrativo,197000
2024,9,Centro,Toluca,Recolección,913000
2024,9,Centro,Toluca,Transporte,299000
2024,9,Centro,Toluca,Tratamiento,510000
2024,9,Centro,Toluca,Mantenimiento,135000
2024,9,Centro,Toluca,Personal,599000
2024,9,Centro,Toluca,Administrativo,79000
2024,9,Sur,Oaxaca,Recolección,686000
2024,9,Sur,Oaxaca,Transporte,229000
2024,9,Sur,Oaxaca,Tratamiento,415000
2024,9,Sur,Oaxaca,Mantenimiento,111000
2024,9,Sur,Oaxaca,Personal,486000
2024,9,Sur,Oaxaca,Administrativo,64000
2024,9,Sur,Veracruz,Recolección,851000
2024,9,Sur,Veracruz,Transporte,278000
2024,9,Sur,Veracruz,Tratamiento,468000
2024,9,Sur,Veracruz,Mantenimiento,126000
2024,9,Sur,Veracruz,Personal,575000
2024,9,Sur,Veracruz,Administrativo,74000
2024,9,Bajío,Guadalajara,Recolección,1099000
2024,9,Bajío,Guadalajara,Transporte,369000
2024,9,Bajío,Guadalajara,Tratamiento,602000
2024,9,Bajío,Guadalajara,Mantenimiento,169000
2024,9,Bajío,Guadalajara,Personal,724000
2024,9,Bajío,Guadalajara,Administrativo,96000
2024,9,Bajío,Querétaro,Recolección,824000
2024,9,Bajío,Querétaro,Transporte,268000
2024,9,Bajío,Querétaro,Tratamiento,456000
2024,9,Bajío,Querétaro,Mantenimiento,125000
2024,9,Bajío,Querétaro,Personal,527000
2024,9,Bajío,Querétaro,Administrativo,71000
2024,10,Norte,Monterrey,Recolección,1271000
2024,10,Norte,Monterrey,Transporte,451000
2024,10,Norte,Monterrey,Tratamiento,701000
2024,10,Norte,Monterrey,Mantenimiento,197000
2024,10,Norte,Monterrey,Personal,836000
2024,10,Norte,Monterrey,Administrativo,115000
2024,10,Norte,Saltillo,Recolección,1008000
2024,10,Norte,Saltillo,Transporte,323000
2024,10,Norte,Saltillo,Tratamiento,539000
2024,10,Norte,Saltillo,Mantenimiento,152000
2024,10,Norte,Saltillo,Personal,662000
2024,10,Norte,Saltillo,Administrativo,89000
2024,10,Centro,CDMX,Recolección,2197000
2024,10,Centro,CDMX,Transporte,745000
2024,10,Centro,CDMX,Tratamiento,1195000
2024,10,Centro,CDMX,Mantenimiento,319000
2024,10,Centro,CDMX,Personal,1409000
2024,10,Centro,CDMX,Administrativo,196000
2024,10,Centro,Toluca,Recolección,910000
2024,10,Centro,Toluca,Transporte,291000
2024,10,Centro,Toluca,Tratamiento,494000
2024,10,Centro,Toluca,Mantenimiento,133000
2024,10,Centro,Toluca,Personal,591000
2024,10,Centro,Toluca,Administrativo,78000
2024,10,Sur,Oaxaca,Recolección,677000
2024,10,Sur,Oaxaca,Transporte,227000
2024,10,Sur,Oaxaca,Tratamiento,404000
2024,10,Sur,Oaxaca,Mantenimiento,107000
2024,10,Sur,Oaxaca,Personal,466000
2024,10,Sur,Oaxaca,Administrativo,63000
2024,10,Sur,Veracruz,Recolección,837000
2024,10,Sur,Veracruz,Transporte,276000
2024,10,Sur,Veracruz,Tratamiento,464000
2024,10,Sur,Veracruz,Mantenimiento,122000
2024,10,Sur,Veracruz,Personal,550000
2024,10,Sur,Veracruz,Administrativo,75000
2024,10,Bajío,Guadalajara,Recolección,1090000
2024,10,Bajío,Guadalajara,Transporte,354000
2024,10,Bajío,Guadalajara,Tratamiento,595000
2024,10,Bajío,Guadalajara,Mantenimiento,165000
2024,10,Bajío,Guadalajara,Personal,708000
2024,10,Bajío,Guadalajara,Administrativo,94000
2024,10,Bajío,Querétaro,Recolección,801000
2024,10,Bajío,Querétaro,Transporte,272000
2024,10,Bajío,Querétaro,Tratamiento,444000
2024,10,Bajío,Querétaro,Mantenimiento,122000
2024,10,Bajío,Querétaro,Personal,533000
2024,10,Bajío,Querétaro,Administrativo,71000
2024,11,Norte,Monterrey,Recolección,1256000
2024,11,Norte,Monterrey,Transporte,426000
2024,11,Norte,Monterrey,Tratamiento,683000
2024,11,Norte,Monterrey,Mantenimiento,199000
2024,11,Norte,Monterrey,Personal,840000
2024,11,Norte,Monterrey,Administrativo,113000
2024,11,Norte,Saltillo,Recolección,987000
2024,11,Norte,Saltillo,Transporte,316000
2024,11,Norte,Saltillo,Tratamiento,526000
2024,11,Norte,Saltillo,Mantenimiento,147000
2024,11,Norte,Saltillo,Personal,639000
2024,11,Norte,Saltillo,Administrativo,85000
2024,11,Centro,CDMX,Recolección,2116000
2024,11,Centro,CDMX,Transporte,714000
2024,11,Centro,CDMX,Tratamiento,1154000
2024,11,Centro,CDMX,Mantenimiento,315000
2024,11,Centro,CDMX,Personal,1358000
2024,11,Centro,CDMX,Administrativo,189000
2024,11,Centro,Toluca,Recolección,878000
2024,11,Centro,Toluca,Transporte,279000
2024,11,Centro,Toluca,Tratamiento,487000
2024,11,Centro,Toluca,Mantenimiento,129000
2024,11,Centro,Toluca,Personal,583000
2024,11,Centro,Toluca,Administrativo,76000
2024,11,Sur,Oaxaca,Recolección,644000
2024,11,Sur,Oaxaca,Transporte,223000
2024,11,Sur,Oaxaca,Tratamiento,388000
2024,11,Sur,Oaxaca,Mantenimiento,106000
2024,11,Sur,Oaxaca,Personal,456000
2024,11,Sur,Oaxaca,Administrativo,62000
2024,11,Sur,Veracruz,Recolección,819000
2024,11,Sur,Veracruz,Transporte,271000
2024,11,Sur,Veracruz,Tratamiento,459000
2024,11,Sur,Veracruz,Mantenimiento,121000
2024,11,Sur,Veracruz,Personal,551000
2024,11,Sur,Veracruz,Administrativo,74000
2024,11,Bajío,Guadalajara,Recolección,1050000
2024,11,Bajío,Guadalajara,Transporte,348000
2024,11,Bajío,Guadalajara,Tratamiento,575000
2024,11,Bajío,Guadalajara,Mantenimiento,162000
2024,11,Bajío,Guadalajara,Personal,711000
2024,11,Bajío,Guadalajara,Administrativo,92000
2024,11,Bajío,Querétaro,Recolección,793000
2024,11,Bajío,Querétaro,Transporte,266000
2024,11,Bajío,Querétaro,Tratamiento,437000
2024,11,Bajío,Querétaro,Mantenimiento,120000
2024,11,Bajío,Querétaro,Personal,524000
2024,11,Bajío,Querétaro,Administrativo,68000
2024,12,Norte,Monterrey,Recolección,1300000
2024,12,Norte,Monterrey,Transporte,449000
2024,12,Norte,Monterrey,Tratamiento,710000
2024,12,Norte,Monterrey,Mantenimiento,208000
2024,12,Norte,Monterrey,Personal,871000
2024,12,Norte,Monterrey,Administrativo,115000
2024,12,Norte,Saltillo,Recolección,1047000
2024,12,Norte,Saltillo,Transporte,332000
2024,12,Norte,Saltillo,Tratamiento,544000
2024,12,Norte,Saltillo,Mantenimiento,154000
2024,12,Norte,Saltillo,Personal,685000
2024,12,Norte,Saltillo,Administrativo,89000
2024,12,Centro,CDMX,Recolección,2254000
2024,12,Centro,CDMX,Transporte,777000
2024,12,Centro,CDMX,Tratamiento,1200000
2024,12,Centro,CDMX,Mantenimiento,322000
2024,12,Centro,CDMX,Personal,1420000
2024,12,Centro,CDMX,Administrativo,203000
2024,12,Centro,Toluca,Recolección,939000
2024,12,Centro,Toluca,Transporte,296000
2024,12,Centro,Toluca,Tratamiento,513000
2024,12,Centro,Toluca,Mantenimiento,135000
2024,12,Centro,Toluca,Personal,619000
2024,12,Centro,Toluca,Administrativo,80000
2024,12,Sur,Oaxaca,Recolección,678000
2024,12,Sur,Oaxaca,Transporte,236000
2024,12,Sur,Oaxaca,Tratamiento,419000
2024,12,Sur,Oaxaca,Mantenimiento,112000
2024,12,Sur,Oaxaca,Personal,480000
2024,12,Sur,Oaxaca,Administrativo,67000
2024,12,Sur,Veracruz,Recolección,879000
2024,12,Sur,Veracruz,Transporte,284000
2024,12,Sur,Veracruz,Tratamiento,476000
2024,12,Sur,Veracruz,Mantenimiento,127000
2024,12,Sur,Veracruz,Personal,573000
2024,12,Sur,Veracruz,Administrativo,76000
2024,12,Bajío,Guadalajara,Recolección,1129000
2024,12,Bajío,Guadalajara,Transporte,376000
2024,12,Bajío,Guadalajara,Tratamiento,605000
2024,12,Bajío,Guadalajara,Mantenimiento,173000
2024,12,Bajío,Guadalajara,Personal,735000
2024,12,Bajío,Guadalajara,Administrativo,99000
2024,12,Bajío,Querétaro,Recolección,834000
2024,12,Bajío,Querétaro,Transporte,275000
2024,12,Bajío,Querétaro,Tratamiento,460000
2024,12,Bajío,Querétaro,Mantenimiento,127000
2024,12,Bajío,Querétaro,Personal,536000
2024,12,Bajío,Querétaro,Administrativo,73000
